,filename,date,year,month,day,lon_10,lat_10,lon_30,lat_30,lon_50,lat_50,lon_70,lat_70,lon_90,lat_90
402,ice_conc_nh_ease2-250_cdr-v2p0_198104191200.nc,1981-04-19,1981,4,19,22.621382469067303,75.20203395176262,20.790020721019697,76.22949067272069,20.010389247198265,76.81635920231756,20.381774293627114,77.4042945171931,19.58371988747459,78.54429081976187
403,ice_conc_nh_ease2-250_cdr-v2p0_198104211200.nc,1981-04-21,1981,4,21,22.575271130210584,74.93281262713946,20.938398558706144,76.14728674366104,21.562351864668415,76.44952958800886,21.015940671533503,77.13817339299474,24.493978316896406,78.70361411163768
404,ice_conc_nh_ease2-250_cdr-v2p0_198104231200.nc,1981-04-23,1981,4,23,22.286369632119612,75.00956259753607,21.55126574888757,75.75319297278322,22.208739125584277,76.09826378099851,23.02672180628175,76.49582110046482,23.057532641149916,78.47804693312422
405,ice_conc_nh_ease2-250_cdr-v2p0_198104251200.nc,1981-04-25,1981,4,25,21.320756828768744,75.26917154438769,21.821507704496415,75.67484271343777,22.076842362641926,76.09596645636431,22.695616611575588,76.41125083306933,24.940681402384765,77.79185315309671
406,ice_conc_nh_ease2-250_cdr-v2p0_198104271200.nc,1981-04-27,1981,4,27,21.593223906632428,75.01958545767594,21.576719674761346,75.63144157748614,21.67778327459539,76.02512566113151,21.96716561430558,76.43118899894611,24.517296329435496,77.62807082016322
407,ice_conc_nh_ease2-250_cdr-v2p0_198104291200.nc,1981-04-29,1981,4,29,21.492297463994635,74.98985385411136,21.677192091742334,75.4877434879045,21.44792106447664,75.96809934203809,21.972899422645764,76.30595208983277,22.156569254660944,76.99574223691765
408,ice_conc_nh_ease2-250_cdr-v2p0_198105011200.nc,1981-05-01,1981,5,1,21.87013512555971,75.03027687150583,21.442980837801116,75.64649758410772,21.416045108719086,76.07393209861033,22.00507261646422,76.34749773243396,21.59608308538038,77.22810719088785
409,ice_conc_nh_ease2-250_cdr-v2p0_198105031200.nc,1981-05-03,1981,5,3,21.73023807409373,75.11383476195287,21.38399810544129,75.68525286240646,21.84645385301611,76.00288615691049,22.092293887743725,76.4294324959259,23.541544014927254,77.66533317704496
410,ice_conc_nh_ease2-250_cdr-v2p0_198105051200.nc,1981-05-05,1981,5,5,20.919834772044727,75.35857223820798,20.852209496617895,75.86558472412572,20.89498656174286,76.27669450207074,21.676693755572703,76.5742270631352,23.640580280897268,77.86361793951657
411,ice_conc_nh_ease2-250_cdr-v2p0_198105071200.nc,1981-05-07,1981,5,7,20.821207779093605,75.47207914990747,20.72191497804972,75.98340155350786,20.704097704010152,76.37484380393576,20.930308815390433,76.75325642041435,22.926301544691224,77.96930169105732
412,ice_conc_nh_ease2-250_cdr-v2p0_198105091200.nc,1981-05-09,1981,5,9,19.799243964653602,75.69287241845414,19.885406775217476,76.17449849454866,20.453870070401734,76.44007888548306,20.554181870232107,76.7668102336715,22.845124720563145,77.79644205689632
413,ice_conc_nh_ease2-250_cdr-v2p0_198105111200.nc,1981-05-11,1981,5,11,20.481057801745408,76.12268071610073,20.397539118882573,76.40769026107857,20.75958805316789,76.68400113276955,20.7309636811241,77.45030031994366,27.51209033799494,77.0818687406948
414,ice_conc_nh_ease2-250_cdr-v2p0_198105131200.nc,1981-05-13,1981,5,13,20.745806029578457,75.91361483237714,20.828563639279757,76.38035007170878,21.026527066876763,76.72837233994701,22.442304525596843,77.23182565003704,24.758768357075017,82.93742641261333
415,ice_conc_nh_ease2-250_cdr-v2p0_198105151200.nc,1981-05-15,1981,5,15,20.852296025694777,75.89630770991201,21.185618119784564,76.22961478722998,21.303644708865583,76.58856646168032,22.827991726120654,77.10849112059437,19.213839958187073,82.32921232762057
416,ice_conc_nh_ease2-250_cdr-v2p0_198105171200.nc,1981-05-17,1981,5,17,19.19152787630421,76.23210371444868,21.26074824099269,76.404606481573,21.300293493866214,76.77517985716062,22.540836806739108,77.35378383617066,25.940304812119958,83.18985458891629
417,ice_conc_nh_ease2-250_cdr-v2p0_198105191200.nc,1981-05-19,1981,5,19,19.560885710692613,75.98307039771764,21.320147906497265,76.25094284005375,21.24131575012282,76.71490964603969,19.064911961488566,78.922050148313,5.8773795632533785,84.28165481520854
418,ice_conc_nh_ease2-250_cdr-v2p0_198105211200.nc,1981-05-21,1981,5,21,18.547478861894962,76.48170293898457,21.146565734176487,76.53150834519815,22.614279310898652,77.18142232223018,19.46661392195956,80.23010040972247,21.24166979250245,83.66310935163924
419,ice_conc_nh_ease2-250_cdr-v2p0_198105231200.nc,1981-05-23,1981,5,23,20.849203938513178,76.25587860594389,20.595702882165458,76.74619872964499,20.61260961759821,77.0205332518238,18.72934255289578,80.1831658612477,7.062571335107547,84.32313678223774
420,ice_conc_nh_ease2-250_cdr-v2p0_198105251200.nc,1981-05-25,1981,5,25,20.893981837170948,76.27426889609094,20.258819778303753,76.84024185601251,20.689562081822775,77.0544225782713,18.166104406360027,80.15095445036172,9.210066866042583,84.16118128477136
421,ice_conc_nh_ease2-250_cdr-v2p0_198105271200.nc,1981-05-27,1981,5,27,21.305635599124642,76.03316242148335,20.610308654118207,76.60419213964599,24.015936846281125,77.72295684943215,18.40648098460674,80.17271845983505,10.44219991788941,83.94223013520345
422,ice_conc_nh_ease2-250_cdr-v2p0_198105291200.nc,1981-05-29,1981,5,29,20.704707181365844,76.0559638189966,20.30699340437915,76.61525433491995,24.245767687730577,78.06470655563132,18.138416353155346,80.15624500729567,12.951975409858452,83.63329063269408
423,ice_conc_nh_ease2-250_cdr-v2p0_198105311200.nc,1981-05-31,1981,5,31,20.84279211919286,76.1222717523596,20.794196728773485,76.59598475797439,24.39244155314839,78.05311664049965,18.37894068451172,80.13429727088003,18.140174595673596,82.97706113148188
424,ice_conc_nh_ease2-250_cdr-v2p0_198106021200.nc,1981-06-02,1981,6,2,21.232561131154462,75.96832433851705,20.935704138644876,76.5584531832888,24.724521420517785,77.90464330017451,19.23303732667607,80.11658854202426,12.047923038263145,83.93727487670914
425,ice_conc_nh_ease2-250_cdr-v2p0_198106041200.nc,1981-06-04,1981,6,4,20.018126994471288,76.20321210774343,21.421139722879804,76.56864936896045,24.597165346463814,78.18499663907474,18.931944650980736,80.11871768395669,,
426,ice_conc_nh_ease2-250_cdr-v2p0_198106061200.nc,1981-06-06,1981,6,6,21.51058022778245,76.52700096917097,21.644068088609053,76.5215008450679,24.711470526220232,78.44237426607232,18.8226425681998,80.12266369341626,34.17383562137615,86.20953518628096
427,ice_conc_nh_ease2-250_cdr-v2p0_198106081200.nc,1981-06-08,1981,6,8,19.455366427387016,76.48544236277591,21.000872722578958,76.71179874211576,21.654144776402717,78.62482795825733,19.167793600711533,80.01278382122605,28.481612682848233,83.28789153978565
